date,year,rank,anomaly_count,anomaly_types,severity_score,total_score,news_titles,news_sources
2020-03-12,2020,1,2,VIX異常 + 價格異常,13.7,17.7,A percolation model for the emergence of the Bitcoin Lightning Network - Nature | Bitcoin Crash 2020 - Forbes | Bitcoin loses half of its value in two-day plunge - CNBC,CNBC | Forbes | Nature
2020-03-09,2020,2,3,VIX異常 + 價格異常 + 情緒異常,9.12,15.12,"French Court Says Bitcoin Is Money - PYMNTS.com | The History And Symbolism Behind Bitcoin’s Logo - Bitcoin Magazine | Warren Buffett's 18 Best Quotes: Apple, Bitcoin, Coronavirus, Bernie - markets.businessinsider.com",Bitcoin Magazine | PYMNTS.com | markets.businessinsider.com
2020-03-16,2020,3,2,VIX異常 + 價格異常,10.57,14.57,"Bitcoin Is Now Undervalued, Suggests This Price Metric - Yahoo Finance | Bitcoin’s Coronavirus Crash; Blockchain In A Pandemic - Forbes | Josh Petty explains how microtransactions power new Bitcoin-native apps - CoinGeek",CoinGeek | Forbes | Yahoo Finance
2020-06-11,2020,4,2,VIX異常 + 價格異常,6.86,10.86,Bitcoin scammers take YouTube channels for a SpaceX ride - Sophos | Coca-Cola Amatil vending machines accept Bitcoin via Centrapay technology - Comunicaffe International | JPMorgan Says Bitcoin Crash Survival Shows It Has Staying Power - Bloomberg.com,Bloomberg.com | Comunicaffe International | Sophos
2020-02-27,2020,5,2,VIX異常 + 價格異常,5.59,9.59,How to Invest in Bitcoin with a Trust - Bitwise Investments | Palihapitiya: Everyone should have 1% of their assets in bitcoin - CNBC | Why Is This Peter Thiel-Backed Startup Mining Bitcoin In West Texas? - Forbes,Bitwise Investments | CNBC | Forbes
2020-02-24,2020,6,2,VIX異常 + 價格異常,4.91,8.91,"At Unchained Capital, Pioneering Bitcoin Native Financial Services - Bitcoin Magazine | Distrust in Lebanese banks spurs bitcoin boom - Al Jazeera | Warren Buffett: Cryptocurrency 'has no value' – 'I don't own any and never will' - CNBC",Al Jazeera | Bitcoin Magazine | CNBC
2020-03-24,2020,7,1,價格異常,6.88,8.88,Bearish 'Death Cross' Price Patterns Loom for Both Bitcoin and US Stocks - CoinDesk | How ‘The Great Wealth Transfer’ Could Give Bitcoin a $1 Trillion Boost - Kraken Blog | Jack Liu on how Bitcoin SV is changing the payments ecosystem - CoinGeek,CoinDesk | CoinGeek | Kraken Blog
2020-09-03,2020,8,2,VIX異常 + 價格異常,4.58,8.58,"Bitcoin Down Almost 10% Today, You’ll Be Surprised to Hear What’s Next - Yahoo Finance | Bitcoin Plunges $403 in 1 Hour to Lowest in a Month - Yahoo Finance | Tech 101: Blockchain’s benefits for construction - constructiondive.com",Yahoo Finance | Yahoo Finance | constructiondive.com
2020-03-13,2020,9,1,價格異常,6.49,8.49,Bitcoin Crash 2020 - Forbes | Bitcoin loses half of its value in two-day plunge - CNBC | Bitcoin plummets as cryptocurrencies suffer in market turmoil - Reuters,CNBC | Forbes | Reuters
2020-11-06,2020,10,2,價格異常 + 情緒異常,4.04,8.04,"Bitcoin Extends Rally With Chart Watchers Eyeing $20,000 - Bloomberg.com | Bitcoin: $1bn seized from Silk Road account by US government - BBC | Record $1 billion worth of bitcoin linked to the Silk Road seized by U.S. government - CNBC",BBC | Bloomberg.com | CNBC
2021-11-26,2021,1,3,VIX異常 + 價格異常 + 情緒異常,6.28,12.28,Bitcoin 2.0.0 App For Ledger - Ledger | Bitcoin Retreats From All-Time High With Virus Raging - Bloomberg.com | Bitcoin enters bear market territory as risk assets plunge on new Covid variant - CNBC,Bloomberg.com | CNBC | Ledger
2021-01-22,2021,2,2,價格異常 + 情緒異常,5.84,9.84,"Bitcoin’s Rise Reminiscent of U.S. Gold Rush - S&P Global | When to trade bitcoin? When Saturn crosses Mercury, of course - Reuters | Why people are so obsessed with bitcoin: The psychology of crypto explained - CNBC",CNBC | Reuters | S&P Global
2021-05-12,2021,3,2,VIX異常 + 價格異常,5.54,9.54,"Elon Musk says Tesla will stop accepting bitcoin for car purchases, citing environmental concerns - CNBC | On Bitcoin’s Energy Consumption - galaxy.com | Tesla will no longer accept Bitcoin over climate concerns, says Musk - BBC",BBC | CNBC | galaxy.com
2021-01-28,2021,4,2,價格異常 + 情緒異常,5.37,9.37,"Bitcoin spikes 20% after Elon Musk adds #bitcoin to his Twitter bio - CNBC | Harvard Management Company Has Invested in Bitcoin Since 2019, per Report - The Harvard Crimson | Researchers turn to stones to find the ancient origin of Bitcoin - University of Oregon",CNBC | The Harvard Crimson | University of Oregon
2021-01-27,2021,5,2,VIX異常 + 價格異常,5.19,9.19,"Harvard Management Company Has Invested in Bitcoin Since 2019, per Report - The Harvard Crimson | Ray Dalio calls Bitcoin 'one hell of an invention,' says it won't 'escape' firm's 'scrutiny' - Yahoo Finance | Researchers turn to stones to find the ancient origin of Bitcoin - University of Oregon",The Harvard Crimson | University of Oregon | Yahoo Finance
2021-03-01,2021,6,2,價格異常 + 情緒異常,4.77,8.77,"Bitcoin Whales Are a Mixed Blessing - Bloomberg.com | Bitcoin: Mother Of All Bubbles, Or Revolutionary Breakthrough - KERA News | Why is Bitcoin better? Let her count the ways. - marketplace.org",Bloomberg.com | KERA News | marketplace.org
2021-05-19,2021,7,1,價格異常,6.42,8.42,"As bitcoin lurches, Wall Street plots its way into cryptoland - The Economist | Opinion | Technobabble, Libertarian Derp and Bitcoin (Published 2021) - The New York Times | University of Pennsylvania Receives Largest Cryptocurrency Gift in the University’s History to Support Innovation in Finance at the Wharton School - Wharton Newsroom",The Economist | The New York Times | Wharton Newsroom
2021-05-05,2021,8,2,價格異常 + 情緒異常,4.35,8.35,How Much Energy Does Bitcoin Actually Consume? - Harvard Business Review | The Rise of Bitcoin - AIER | You don’t actually own the bitcoin you buy on PayPal. But you can still make a profit - CNBC,AIER | CNBC | Harvard Business Review
2021-05-20,2021,9,2,價格異常 + 情緒異常,4.35,8.35,"As bitcoin lurches, Wall Street plots its way into cryptoland - The Economist | Opinion | Technobabble, Libertarian Derp and Bitcoin (Published 2021) - The New York Times | University of Pennsylvania Receives Largest Cryptocurrency Gift in the University’s History to Support Innovation in Finance at the Wharton School - Wharton Newsroom",The Economist | The New York Times | Wharton Newsroom
2021-09-20,2021,10,2,VIX異常 + 價格異常,4.16,8.16,Bitcoin mining producing tonnes of waste - BBC | Bitcoin’s Impacts on Climate and the Environment - Columbia University | Why Donate Bitcoin to Charity? - The Giving Block,BBC | Columbia University | The Giving Block
2022-06-13,2022,1,2,VIX異常 + 價格異常,6.19,10.19,"Bitcoin Code Switch Could Clean Up Crypto’s Dirty Image - discovery.com | Bitcoin: Why is the largest cryptocurrency crashing? - BBC | No let up in crypto slide, Bitcoin at 18-month low - Al Jazeera",Al Jazeera | BBC | discovery.com
2022-05-05,2022,2,2,VIX異常 + 價格異常,4.35,8.35,Cryptocurrency’s Dirty Secret: Energy Consumption - Columbia University | New York is close to a bitcoin mining crackdown — here's what that means for the industry - CNBC | Unpacking the Intricate Relationship Between Bitcoin and Inflation - Bitwise Investments,Bitwise Investments | CNBC | Columbia University
2022-04-26,2022,3,2,VIX異常 + 價格異常,3.62,7.62,"Bitcoin becomes official currency in Central African Republic - BBC | Bitcoin is now official currency in Central African Republic - Al Jazeera | FIU Foundation now accepting donations of Bitcoin, Litecoin and other cryptocurrency - Florida International University",Al Jazeera | BBC | Florida International University
2022-04-22,2022,4,2,VIX異常 + 價格異常,3.37,7.37,"Cryptocurrency ATMs: Risks, rewards and getting to know your customers - Thomson Reuters | This real estate investor has a side hustle mining more than $110,000 in bitcoin every month - CNBC | Why Argentina is embracing cryptocurrency - BBC",BBC | CNBC | Thomson Reuters
2022-11-10,2022,5,1,價格異常,4.57,6.57,Bitcoin Hits 2-Year Low Below $16K After Binance Backs Out of FTX Deal - CoinDesk | Bitcoin falls to its lowest level in nearly two years as Binance abandons FTX deal - CNBC | Bitcoin price drops below $16K after FTX-Binance deal falls through - Yahoo Finance,CNBC | CoinDesk | Yahoo Finance
2022-11-09,2022,6,1,價格異常,4.55,6.55,"Bitcoin falls to its lowest level in nearly two years as Binance abandons FTX deal - CNBC | Bitcoin price drops below $16K after FTX-Binance deal falls through - Yahoo Finance | Japanese Banking Giant’s Subsidiary To Launch Bitcoin, Crypto Trading In 2023: Report - Bitcoin Magazine",Bitcoin Magazine | CNBC | Yahoo Finance
